persones_jur_diques_p_bliques,persones_jur_diques_privades,s_cies_no_treballadores_dones,socis_no_treballadors,s_cies_dones,socis,n_m_total_acc_part,valor_nom_acc_part,capital_social_inicial,data_constituci,prov_ncia,comarca,municipi,cp,adre_a,sector,descripci_ccae,ccae,nom_societat,cif,n_m_inscripci
0,0,2,0,0,2,51000,1,51000,2007-08-31T00:00:00.000,TARRAGONA,Baix Ebre,Camarles,[ 43894 ],"C. C/ VINT-I-SET, 48, BAIXOS""""",CONSTRUCCIÓ,Pintura i vidrieria,[ 4334 ],"PINTURA DECORATIVA MONDES, SLL",B43908334,6659
0,0,1,0,0,2,3006,1,3006,2007-01-17T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08013 ],"C. C/ DIPUTACIÓ, 382, 1R 4T""""",SERVEIS,Restaurants i establiments de menjars,[ 5610 ],"NIURKA & MORA MEDINA ASOCIADOS, SLL",B64297153,6512
0,0,1,0,2,1,3006,1,3006,2007-09-20T00:00:00.000,BARCELONA,Vallès Occidental,Cerdanyola Del Vallès,[ 08290 ],"C. C/ RIU SEC, 36, 1A PLANTA""""",SERVEIS,Acadèmies,[ 80422 ],"GRADA ICARUS, SLL",B64610280,6670
0,0,0,1,0,2,5175,10,51750,2006-10-30T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08028 ],"C. C/ ROSES, 37""""",CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"IDAE 2005, SLL",B64258643,6460
0,0,2,0,0,2,66300,1,66300,2007-05-30T00:00:00.000,BARCELONA,Baix Llobregat,Sant Vicenç Dels Horts,[ 08620 ],"C. C/ MOSSEN JACINT VERDAGUER, 2""",SERVEIS,"Comerç a l'engròs de ferreteria, lampisteria i calefacció",[ 4674 ],"SUBMINISTRAMENTS I FERRETERIA LA NOVA 2007, SAL",A64406200,6586
0,0,1,0,0,2,3900,10,39000,2006-11-07T00:00:00.000,TARRAGONA,Montsià,Amposta,[ 43870 ],"C. C/ SANT JUST, 13""""",INDÚSTRIA,Fabricació de tancaments metàl·lics,[ 2512 ],"SANTIAGO PRAMAR, SLL",B43867860,6471
0,0,2,0,1,1,48000,1,48000,2007-06-05T00:00:00.000,BARCELONA,Vallès Occidental,Terrassa,[ 08228 ],"C. C/ SANT GAIETÀ, 118""""",SERVEIS,"Comerç al detall d'aliments, begudes i tabac en establiments especialitzats",[ 522 ],"DELICATESSEN SANT GAIETA, SLL",B64475858,6590
0,0,0,0,1,2,330,10,3300,2007-07-19T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08028 ],"C. C/ TENOR MASSINI, 37, BAIXOS""""",CONSTRUCCIÓ,Altres activitats d'instal·lació en edificis i obres,[ 4329 ],"INSTALACIONES Y ENERGIAS RENOVABLES MONTBRIO, 2007, SLL",B64562556,6636
0,0,0,1,3,3,70,43,3010,2006-11-07T00:00:00.000,LLEIDA,Segrià,Lleida,[ 25006 ],"C. PASSEIG DE RONDA, 145""""",SERVEIS,Hoteleria,[ 55 ],"DOZOLA, SLL",B25612854,6469
0,0,0,1,0,2,30000,1,30000,2006-10-11T00:00:00.000,TARRAGONA,Tarragonès,Constantí,[ 43120 ],"C. C/ REUS, 14, BLOC B, 3R 4T""""",SERVEIS,Comerç a l'engròs no especialitzat,[ 4690 ],"BARCELO SAMPOL GESTIO, SLL",B43867001,6456
0,0,0,1,0,2,3150,1,3150,2007-02-20T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08015 ],"C. C/ CALABRIA, 64, LOCAL""""",CONSTRUCCIÓ,"Lampisteria, instal·lacions de calefacció i aire condicionat",[ 4322 ],"IBERBCN INTERIORISMO, SLL",B64407992,6529
0,0,2,0,0,2,10000,100,10000,2007-03-07T00:00:00.000,LLEIDA,Segrià,Lleida,[ 25190 ],"C. POL. IND. CAMI DEL FRARES PAR""",INDÚSTRIA,Fabricació d'altres tipus de maquinària per a usos específics ncaa,[ 2899 ],"TOMARSA LLEIDATANA, SLL",B25630237,6536
0,0,0,0,1,2,81000,1,81000,2007-07-17T00:00:00.000,BARCELONA,Vallès Occidental,Terrassa,[ 08228 ],"C. C/ NAVAS DE TOLOSA, 5, BAIXOS""",SERVEIS,Comerç al detall de carn i productes carnis en establiments especialitzats,[ 4722 ],"HEBERICAR 2.007, SLL",B64563943,6632
0,0,0,1,1,1,47502,1,47502,2006-12-01T00:00:00.000,BARCELONA,Baix Llobregat,Viladecans,[ 08840 ],"C. C/ DOS DE MAIG, 46, BAIXOS""""",SERVEIS,Agents de la propietat immobiliària,[ 6831 ],"AUMOM IMMOBLES DEL BAIX, SLL",B64304793,6486
0,0,1,0,0,2,501,602,301602,2005-09-06T00:00:00.000,TARRAGONA,Tarragonès,Tarragona,[ 43006 ],"urb. LOS """"NARANJOS"""" "" Bloc 2 Pis BAIXOS""",SERVEIS,Manteniment i reparació de vehicles de motor,[ 4520 ],"TALLERES VICENTE LOZANO, SLL",B43370451,6084
0,0,0,3,1,1,100,31,3100,2006-09-15T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08028 ],"C. C/ DOLORS MASFERRER, 1, 1R 1A""",SERVEIS,Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessorament tècnic,[ 7112 ],"ENERGETIC SINGULARIS, SLL",B64276017,6429
0,0,0,1,0,2,72717,1,72717,2007-10-09T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08007 ],"C. PASSEIG DE GRACIA, 34, 3R 1A""""",CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"EXCAVACIONES NASKAR, TRABAJOS DE CONSTRUCCION, SLL",B64636277,6684
0,0,1,0,0,2,3009,1,3009,2007-09-05T00:00:00.000,BARCELONA,Vallès Occidental,Barberà Del Vallès,[ 08210 ],"C. C/ LINARES, 27""""",CONSTRUCCIÓ,"Lampisteria, instal·lacions de calefacció i aire condicionat",[ 4322 ],"INGENIERIA ESOL, SLL",B64599947,6661
0,0,1,0,1,1,360,100,36000,2006-10-11T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08028 ],"C. C/ TRAVESSERA DE LES CORTS, 1""",SERVEIS,"Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...",[ 741 ],"ADVOCATS I ECONOMISTES ANDRES, SLL",B64277783,6455
0,0,0,0,0,3,3006,1,3006,2007-08-28T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08030 ],"C. C/ MARQUÉS DE SANTILLANA, 3,""",CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"PROIMA SOLUCIONES CREATIVAS, SLL",B64574254,6655
