CIF;Núm. inscripció;Nom societat;Data constitució;CCAE;Descripció CCAE;Sector;Adreça;CP;Municipi;Comarca;Província;Capital social inicial;Valor nom. Acc. Part.;Núm. total acc/part;Socis;Sòcies (dones);Socis no treballadors;Sòcies no treballadores (dones);Persones jurídiques privades;Persones jurídiques públiques;Year
B64209539;6377;BAR GAÑMA RIPOLLET 2006, SLL;2006-07-07;[ 522 ];Comerç al detall d'aliments, begudes i tabac en establiments especialitzats;SERVEIS;C. REIS núm. 9-11;[ 08290 ];Cerdanyola Del Vallès;Vallès Occidental;BARCELONA;73000.0;1.0;73000;2;0;1;2;0;0;2023
B64206840;6375;ALUMINIOS ALUBCN, SLL;2006-07-06;[ 4399 ];Altres activitats especialitzades de la construcció ncaa;CONSTRUCCIÓ;RBLA. JOSEP TARRADELLAS núm. 3 Pis LOCAL Porta 5;[ 08400 ];Granollers;Vallès Oriental;BARCELONA;54000.0;1.0;54007;7;3;0;0;0;0;2023
B64203995;6374;BODIFORM BELLEZZA, SLL;2006-07-06;[ 9602 ];Perruqueria i altres tractaments de bellesa;SERVEIS;CAMÍ VELL DE SANT ESTEVE núm. 31-B Pis BAIXOS;[ 08760 ];Martorell;Baix Llobregat;BARCELONA;36000.0;1000.0;36;1;1;0;1;0;0;2023
A64238090;6372;OMNILAN COMUNICACIONES, SAL;2006-07-05;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;PG. DELS PINS núm. 45 Bloc B;[ 08980 ];Sant Feliu De Llobregat;Baix Llobregat;BARCELONA;78000.0;260.0;300;2;0;1;0;0;0;2023
B64188659;6371;VILANOVA PUNTNET 660, SLL;2006-07-05;[ 4520 ];Manteniment i reparació de vehicles de motor;SERVEIS;C. RONDA IBÉRICA núm. 19;[ 08800 ];Vilanova I La Geltrú;Garraf;BARCELONA;90000.0;5.0;18000;2;0;0;1;0;0;2023
B64146269;6370;HADOS CALDERERIA PLANCHISTERIA, SLL;2006-07-05;[ 2521 ];Fabricació de radiadors i calderes per a calefacció central;INDÚSTRIA;CTRA. ANTIGA DE VALÈNCIA núm. 46 Pis 8È Porta 2A;[ 08914 ];Badalona;Barcelonès;BARCELONA;18618.0;1.0;18618;2;0;0;2;0;0;2023
B64174139;6367;TAQUIAR SERVEI PORTA PORTA, SLL;2006-06-26;[ 5320 ];Altres activitats postals i de correus;SERVEIS;C. CADÍ núm. 30 Pis 2N Porta 3A;[ 08031 ];Barcelona;Barcelonès;BARCELONA;3100.0;5.0;620;2;0;2;0;0;0;2023
B64029630;6366;BAZAR EL RIF, SLL;2006-06-26;[ 522 ];Comerç al detall d'aliments, begudes i tabac en establiments especialitzats;SERVEIS;AV. PAU CLARIS núm. 20 Pis LOCAL Porta 2;[ 08760 ];Martorell;Baix Llobregat;BARCELONA;9000.0;1.0;9000;2;0;0;1;0;0;2023
B64206246;6365;INSTAL·LACIONS DIAMONT, SLL;2006-06-23;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;C. RIERA D'HORTA núm. 50 Pis LOCAL Porta 35;[ 08027 ];Barcelona;Barcelonès;BARCELONA;60000.0;100.0;600;2;1;1;0;0;0;2023
B64204555;6361;ESFORBAL, SLL;2006-06-21;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. INDÚSTRIA núm. S/N Polígon LA COROMINA;[ 08660 ];Balsareny;Bages;BARCELONA;88880.0;10.0;88880;4;0;0;0;0;0;2023
