CIF;Núm. inscripció;Nom societat;Data constitució;CCAE;Descripció CCAE;Sector;Adreça;CP;Municipi;Comarca;Província;Capital social inicial;Valor nom. Acc. Part.;Núm. total acc/part;Socis;Sòcies (dones);Socis no treballadors;Sòcies no treballadores (dones);Persones jurídiques privades;Persones jurídiques públiques;Year
B63573109;5690;DRAGON REZAGADO AUDIOVISUAL PRODUCTIONS, SLL;2004-09-20;[ 5915 ];Activitats de producció cinematogràfica i de vídeo;SERVEIS;PL. FRANCESC MACIÀ núm. 8 Pis 3R Porta 2A;[ 08902 ];Hospitalet De Llobregat, L';Barcelonès;BARCELONA;3008.0;4.0;752;1;1;2;0;0;0;2024
B63417117;5693;ENCOFRADOS Y FORJADOS F-H, SLL;2004-09-27;[ 452 ];Construcció general d'immobles i obres d'enginyeria civil;CONSTRUCCIÓ;C. Salvador Seguí núm. 29 Pis BAIXOS Porta 3;[ 08720 ];Vilafranca Del Penedès;Alt Penedès;BARCELONA;3300.0;110.0;658;2;0;0;1;0;0;2024
B63562565;5694;PANKEN G. H., SLL;2004-09-28;[ 4724 ];Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establiments especialitzats;SERVEIS;C. CARRETERA DE LA BORDETA núm. 96 Pis BAIXOS;[ 08014 ];Barcelona;Barcelonès;BARCELONA;15144.0;1.0;15144;0;2;1;0;0;0;2024
B43757426;5695;ALCANAUTIC, SLL;2004-09-28;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. CERVANTES núm. 78 Pis 2N Porta D;[ 43870 ];Amposta;Montsià;TARRAGONA;49500.0;500.0;99;1;1;1;0;0;0;2024
B63584387;5697;SURICATA EXCAVACIONES, SLL;2004-09-30;[ 4313 ];Perforacions i sondatges;CONSTRUCCIÓ;urb. EL FARELL (PTGE. DE LES FLORS) núm. 14;[ 08140 ];Caldes De Montbui;Vallès Oriental;BARCELONA;36400.0;100.0;364;1;0;0;1;0;0;2024
B63582472;5699;CHEV INFORMATIC, SLL;2004-10-04;[ 6209 ];Altres serveis relacionats amb les tecnologies de la informació;SERVEIS;C. PERE IV núm. 234-252 Pis LOCAL Porta 3;[ 08005 ];Barcelona;Barcelonès;BARCELONA;24000.0;10.0;2400;1;1;0;1;0;0;2024
B63314603;5700;PINTURAS Y OBRAS HERNICA VELASCO, SLL;2004-10-05;[ 4334 ];Pintura i vidrieria;CONSTRUCCIÓ;C. HORTENSIA núm. 43;[ 08292 ];Esparreguera;Baix Llobregat;BARCELONA;3006.0;3.0;1002;2;0;0;1;0;0;2024
B63509210;5702;AGENCIA IMPOSIBLE DEL VALLES, SLL;2004-10-05;[ 7911 ];Activitats de les agències de viatges;SERVEIS;C. MAXIMI FORNÉS núm. 44;[ 08191 ];Rubí;Vallès Occidental;BARCELONA;33000.0;10.0;3300;1;1;1;0;0;0;2024
B25549981;5704;BALMU MONTAJES INDUSTRIALES, SLL;2004-10-05;[ 2822 ];Fabricació de maquinària d'elevació i manipulació;INDÚSTRIA;C. INDUSTRIA núm. 4 Polígon LA NOGUERA;[ 25670 ];Térmens;Noguera;LLEIDA;91300.0;913.0;100;2;0;1;1;0;0;2024
B63476121;5708;RESTAURACIO I MULTIMEDIA, SLL;2004-10-07;[ 4520 ];Manteniment i reparació de vehicles de motor;SERVEIS;AV. CANOVELLES núm. 1-3 Pis BAIXOS;[ 08420 ];Canovelles;Vallès Oriental;BARCELONA;39000.0;100.0;390;2;0;0;1;0;0;2024
B63545164;5709;MABEL GESTION INMOBILIARIA, SLL;2004-10-07;[ 6831 ];Agents de la propietat immobiliària;SERVEIS;C. SANT LLUÍS núm. 36 Pis LOCAL;[ 08850 ];Gavà;Baix Llobregat;BARCELONA;18039.0;1.0;18039;1;1;1;0;0;0;2024
B63516652;5711;MENUDO CAFE, SLL;2004-10-07;[ 4724 ];Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establiments especialitzats;SERVEIS;C. SANT FRANCESC XAVIER núm. 40 Pis TENDA;[ 08950 ];Esplugues De Llobregat;Baix Llobregat;BARCELONA;68820.0;1.0;68820;1;2;0;0;0;0;2024
B63581037;5712;CONSTRUCCIONES & INSTALACIONES ECUADOR, SLL;2004-10-07;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;C. RAMBLA BADAL núm. 46-50 Pis LOCAL Porta 5;[ 08014 ];Barcelona;Barcelonès;BARCELONA;3102.0;1.0;3102;2;0;0;1;0;0;2024
B63503601;5714;LD INSTALACIONES Y MONTAJES, SLL;2004-10-13;[ 4333 ];Revestiments de terres i parets;CONSTRUCCIÓ;PG. DE GRÀCIA núm. 34 Pis 3R Porta 1A;[ 08007 ];Barcelona;Barcelonès;BARCELONA;54500.0;1.0;78500;8;0;0;0;0;0;2024
B63578660;5716;PROMOCIONS CERDANYA PIRINEUS, SLL;2004-10-15;[ 6831 ];Agents de la propietat immobiliària;SERVEIS;C. MAJOR núm. 22;[ 08692 ];Puig-Reig;Berguedà;BARCELONA;76500.0;100.0;765;1;1;1;0;0;0;2024
B63118566;5718;JEBARI GHAILAN CONSTRUCCIONES JG3, SLL;2004-10-18;[ 452 ];Construcció general d'immobles i obres d'enginyeria civil;CONSTRUCCIÓ;C. GERMANS DOROTEO núm. 11 Pis 1R Porta 3A;[ 08303 ];Mataró;Maresme;BARCELONA;3006.0;6.0;501;2;0;1;0;0;0;2024
B25557562;5722;FUSTERIA ESTACIO, SLL;2004-10-20;[ 45421 ];Instal·lacions de fusteria i matèries plàstiques;CONSTRUCCIÓ;AV. ESTACIÓ núm. 20;[ 25500 ];Pobla De Segur, La;Pallars Jussà;LLEIDA;90000.0;100.0;900;2;0;0;0;0;0;2024
B63549356;5723;FRANYL, SLL;2004-10-21;[ 5630 ];Establiments de begudes;SERVEIS;C. ABEDUL núm. 12 Pis BAIXOS;[ 08940 ];Cornellà De Llobregat;Baix Llobregat;BARCELONA;36060.0;60.0;601;1;1;1;1;0;0;2024
B43767557;5724;TOT BUSTIA, SLL;2004-10-21;[ 2599 ];Fabricació d'altres productes metàl·lics ncaa;INDÚSTRIA;C. BENET VIDAL I GIMBERNAT núm. 51;[ 43850 ];Cambrils;Baix Camp;TARRAGONA;3120.0;10.0;312;2;1;1;0;0;0;2024
B63480560;5729;CONGELADOS CARSAN, SLL;2004-10-27;[ 522 ];Comerç al detall d'aliments, begudes i tabac en establiments especialitzats;SERVEIS;C. LA PALMA núm. 46 Pis BAIXOS;[ 08205 ];Sabadell;Vallès Occidental;BARCELONA;12150.0;1.0;12150;0;2;1;0;0;0;2024
B63595722;5731;SAID TAMOU, SLL;2004-10-29;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. BISBE PANYELLES núm. 4 Pis 4T Porta 1A;[ 08720 ];Vilafranca Del Penedès;Alt Penedès;BARCELONA;36000.0;1.0;36000;2;0;0;1;0;0;2024
B63479893;5732;REVESREYES SERVICIOS INTEGRALES, SLL;2004-11-02;[ 4331 ];Arrebossat;CONSTRUCCIÓ;C. GRAN VIA DE LES CORTS CATALANE núm. 291 Pis ENTL. Porta 4;[ 08587 ];Barcelona;Barcelonès;BARCELONA;45000.0;100.0;450;2;0;0;2;0;0;2024
B63600985;5733;EMPRESA CONSTRUCTORA COFECA JJJ, SLL;2004-11-02;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. GORINA I PUJOL núm. 184-186 Pis LOCAL;[ 08396 ];Sant Cebrià De Vallalta;Maresme;BARCELONA;60000.0;0.0;0;2;0;0;1;0;0;2024
B63555924;5734;YELLOWCAT, SLL;2004-11-04;[ 4690 ];Comerç a l'engròs no especialitzat;SERVEIS;pi. LES FORQUES núm. 7 Polígon SUD;[ 08754 ];Papiol, El;Baix Llobregat;BARCELONA;75000.0;5.0;15000;2;0;1;0;0;0;2024
B63612618;5735;FRUTAS DE MIGUEL Y FELGUERA, SLL;2004-11-05;[ 4721 ];Comerç al detall de fruites i hortalisses en establiments especialitzats;SERVEIS;NC MERCAT MUNICIPAL Pis PARADA Porta 33;[ 08780 ];Pallejà;Baix Llobregat;BARCELONA;23100.0;1.0;23100;1;1;1;0;0;0;2024
B63608962;5736;DRUIDA-STANDS, SLL;2004-11-05;[ 5248 ];Altres tipus de comerç al detall en establiments especialitzats;SERVEIS;AV. PARAL·LEL núm. 171 Pis 4T Porta 1A;[ 08004 ];Barcelona;Barcelonès;BARCELONA;27000.0;100.0;270;2;0;0;1;0;0;2024
B63608830;5737;VIDRES BELMOS, SLL;2004-11-05;[ 4334 ];Pintura i vidrieria;CONSTRUCCIÓ;pi. MOLÍ DE LA LLAVINA núm. S/N Polígon CONGOST;[ 08540 ];Centelles;Osona;BARCELONA;60000.0;10.0;6000;2;2;0;0;0;0;2024
B25559758;5739;DIAMAC VIDEO LLEIDA, SLL;2004-11-09;[ 71404 ];Lloguer d'altres efectes personals;SERVEIS;AV. PRAT DE LA RIBA núm. 23 Pis BAIXOS;[ 25006 ];Lleida;Segrià;LLEIDA;40500.0;10.0;4050;2;0;0;1;0;0;2024
B17816174;5740;ALRRAMA DIFUSION, SLL;2004-11-09;[ 6619 ];Activitats auxiliars de la mediació financera ncaa;SERVEIS;C. RAVAL núm. 45 Pis ÀTIC Porta 2A;[ 17300 ];Blanes;Selva;GIRONA;72000.0;1.0;72000;2;2;0;0;0;0;2024
B65135535;7045;ENVERNISSATS ROMERO I BUSQUETS, SLL;2009-09-03;[ 4332 ];Instal·lacions de fusteria;CONSTRUCCIÓ;C. SOLSONES núm. 5;[ 08211 ];Castellar Del Vallès;Vallès Occidental;BARCELONA;80000.0;1.0;80000;2;1;1;0;0;0;2024
A63612667;5743;B2I NEWCONSULTING FINANCIERO, SLL;2004-11-09;[ 66 ];Assegurances i plans de pensions, excepte la Seguretat Social obligatòria;SERVEIS;AV. CERDANYOLA núm. 75-77 Pis 1R;[ 08190 ];Sant Cugat Del Vallès;Vallès Occidental;BARCELONA;60300.0;1.0;60300;2;1;1;1;0;0;2024
B63617922;5744;BMJCG ASOCIADOS, SLL;2004-11-10;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. SANT TOMÀS núm. 2 Pis 4T Porta 3A;[ 08110 ];Montcada I Reixac;Vallès Occidental;BARCELONA;34500.0;5.0;6900;2;0;1;1;0;0;2024
B63615850;5747;ALUMINIS I COMPLEMENTS SANT BENET, SLL;2004-11-16;[ 2512 ];Fabricació de tancaments metàl·lics;INDÚSTRIA;C. DE LA CAÇA núm. 11 Pis BAIXOS;[ 08272 ];Sant Fruitós De Bages;Bages;BARCELONA;36000.0;10.0;3600;2;0;1;1;0;0;2024
B63613541;5751;BARCELONA TELECOMUNICACIONES E INFORMATICA TRES, SLL;2004-11-17;[ 6209 ];Altres serveis relacionats amb les tecnologies de la informació;SERVEIS;C. RONDA SANT PERE núm. 39;[ 08010 ];Barcelona;Barcelonès;BARCELONA;60000.0;1000.0;60;3;0;0;0;0;0;2024
B63586036;5752;LES FADES DEL VALLES, SLL;2004-11-18;[ 85329 ];Altres activitats de serveis socials sense allotjament;SERVEIS;C. BALMES núm. 81 Pis 2N Porta 3A;[ 08440 ];Cardedeu;Vallès Oriental;BARCELONA;3150.0;10.0;315;1;2;0;0;0;0;2024
B63617245;5753;BAIX COURIER, SLL;2004-11-19;[ 5320 ];Altres activitats postals i de correus;SERVEIS;C. RICARD CARO núm. 79;[ 08222 ];Terrassa;Vallès Occidental;BARCELONA;33000.0;1.0;33000;1;1;1;0;0;0;2024
B63604193;5754;CAPDEVILA TECNOLOGIES, SLL;2004-11-22;[ 4754 ];Comerç al detall d'electrodomèstics en establiments especialitzats;SERVEIS;C. JOAN MARAGALL núm. 11 Pis BAIXOS;[ 08182 ];Sant Feliu De Codines;Vallès Oriental;BARCELONA;42000.0;100.0;420;0;2;1;0;0;0;2024
B63614259;5755;GALLESPI, SLL;2004-11-22;[ 6831 ];Agents de la propietat immobiliària;SERVEIS;C. RAMBLA DEL CARME núm. 21 Pis ENTL.;[ 08500 ];Vic;Osona;BARCELONA;27000.0;10.0;2700;0;2;2;0;0;0;2024
B63491559;5759;TRANSNOU, TRANSPORTE DE CONTENEDORES BARCELONA, SLL;2004-11-23;[ 6024 ];Transport de mercaderies per carretera;SERVEIS;C. MAJOR núm. 396 Pis 2N Porta 3A;[ 08759 ];Vallirana;Baix Llobregat;BARCELONA;95200.0;1.0;95200;3;2;0;0;0;0;2024
B43763788;5760;CONSPELA, SLL;2004-11-23;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;urb. CAMP CLAR (C. RIU LLOBREGAT) Bloc 10 Esc. 4 Pis 2N Porta 1A;[ 43006 ];Tarragona;Tarragonès;TARRAGONA;3100.0;1.0;3100;3;0;0;1;0;0;2024
B63627970;5761;MICROMUTACION, SLL;2004-11-25;[ 7414 ];Consulta i assessorament sobre direcció i gestió empresarial;SERVEIS;C. CÒRSEGA núm. 78-80 Pis ENTL. Porta 2A;[ 08029 ];Barcelona;Barcelonès;BARCELONA;3015.0;1.0;3015;1;1;0;1;0;0;2024
B63602411;5762;CONSTRUMELO, SLL;2004-11-26;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. BELLATERRA núm. 6 Pis BAIXOS;[ 08940 ];Cornellà De Llobregat;Baix Llobregat;BARCELONA;54000.0;1.0;54000;2;0;0;1;0;0;2024
B17813452;5763;TALLER MECANIC NOU METAL, SLL;2004-11-26;[ 2829 ];Fabricació d'altre tipus de maquinària d'ús general ncaa;INDÚSTRIA;C. MESTRE SAGRERA núm. 31 Pis 1R Porta 4A;[ 17200 ];Palafrugell;Baix Empordà;GIRONA;39600.0;1.0;39600;2;1;0;0;0;0;2024
B63442461;5765;TOT CAR BCN, SLL;2004-11-29;[ 4520 ];Manteniment i reparació de vehicles de motor;SERVEIS;C. MASSENS núm. 13 Pis BAIXOS;[ 08024 ];Barcelona;Barcelonès;BARCELONA;62563.0;1.0;62563;2;0;0;2;0;0;2024
B63620272;5766;DCC CONSULTING, SLL;2004-11-30;[ 7320 ];Estudis de mercat i enquestes d'opinió pública;SERVEIS;C. BALMES núm. 54;[ 08007 ];Barcelona;Barcelonès;BARCELONA;63801.0;1.0;63801;3;0;0;0;0;0;2024
B63630487;5767;PIBERNAT ADVOCATS, SLL;2004-11-30;[ 6910 ];Activitats jurídiques;SERVEIS;C. IRLANDA núm. 129 Pis 1R;[ 08922 ];Santa Coloma De Gramenet;Barcelonès;BARCELONA;78700.0;1.0;78700;2;3;0;0;0;0;2024
B63625669;5768;JUMA MANUTENCION, SLL;2004-11-30;[ 2924 ];Fabricació d'altres tipus de maquinària d'ús general;INDÚSTRIA;pi. ALMERIA núm. 36 Polígon CIDESA;[ 08740 ];Sant Andreu De La Barca;Baix Llobregat;BARCELONA;69200.0;200.0;346;2;0;0;2;0;0;2024
B63058333;5769;EXCAVACIONS SERPI, SLL;2004-12-01;[ 4312 ];Moviments de terres;CONSTRUCCIÓ;AV. PARE CLARET núm. 10;[ 08296 ];Castellbell I El Vilar;Bages;BARCELONA;3006.0;1.0;3006;1;1;1;0;0;0;2024
B63585384;5770;CALDERS ROSTISSERIA, SLL;2004-12-01;[ 51382 ];Comerç a l'engròs d'altres productes alimentaris;SERVEIS;AV. PINTOR MIR núm. 38 Pis 2N Porta 4A;[ 08227 ];Terrassa;Vallès Occidental;BARCELONA;3300.0;1.0;3300;1;1;0;1;0;0;2024
B63634497;5771;BARMA PLAST, SLL;2004-12-01;[ 2229 ];Fabricació d'altres productes de matèries plàstiques;INDÚSTRIA;C. CAN COLL núm. 15 Nau 5;[ 08185 ];Lliçà De Vall;Vallès Oriental;BARCELONA;65120.0;1.0;65120;3;0;0;0;0;0;2024
B63622955;5774;L'HAM DAURAT, SLL;2004-12-02;[ 4638 ];Comerç a l'engròs de peix i marisc i altres productes alimentaris;SERVEIS;C. PROGRÈS núm. 98 Pis 1R Porta 2A;[ 08912 ];Badalona;Barcelonès;BARCELONA;36000.0;10.0;3600;2;0;0;2;0;0;2024
B17820747;5776;CONSLEYCA, SLL;2004-12-07;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. TORRE GIRONELLA núm. 132 Pis BAIXOS;[ 17004 ];Girona;Gironès;GIRONA;16800.0;800.0;21;3;0;0;0;0;0;2024
B43768787;5778;MESON LA CANTONADA DE CREIXELL, SLL;2004-12-09;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;AV. NOSTRA SENYORA DELS ÀNGELS núm. 27;[ 43839 ];Creixell;Tarragonès;TARRAGONA;36000.0;100.0;360;1;1;0;1;0;0;2024
B63641989;5779;EL RACO DE CAN VALERI, SLL;2004-12-10;[ 5630 ];Establiments de begudes;SERVEIS;C. GRANOLLERS núm. 26;[ 08440 ];Cardedeu;Vallès Oriental;BARCELONA;55200.0;184.0;300;1;2;0;0;0;0;2024
B25556879;5780;COMERCIAL FARRUS I ASSOCIATS 2004, SLL;2004-12-10;[ 4673 ];Comerç a l'engròs de fusta, materials de construcció i aparells sanitaris;SERVEIS;pi. NÚM. 1 (CRTA. NACIONAL II) núm. S/N Km. 462,200 Polígon LA CREU DEL BATLLE Nau C;[ 25194 ];Lleida;Segrià;LLEIDA;54000.0;100.0;540;2;1;0;0;0;0;2024
B25562463;5781;BAR RESTAURANT 7 BROTHERS, SLL;2004-12-10;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. J. V. FOIX núm. 8 Esc. A Pis 2N Porta 2A;[ 25280 ];Solsona;Solsonès;LLEIDA;36000.0;100.0;360;1;1;1;0;0;0;2024
B63640445;5783;SOM-GRAFICS, SLL;2004-12-14;[ 1812 ];Altres activitats d'impressió i arts gràfiques;INDÚSTRIA;pi. METAL·LÚRGIA Polígon SANT VICENÇ Nau 2;[ 08755 ];Castellbisbal;Vallès Occidental;BARCELONA;216200.0;1.0;216200;5;0;0;0;0;0;2024
B63641914;5784;MECANIZADOS LLANOS, SLL;2004-12-14;[ 2562 ];Enginyeria mecànica general per compte d'altri;INDÚSTRIA;pi. CAN BUSCARONS núm. 3 Polígon CAN BUSCARONS;[ 08170 ];Montornès Del Vallès;Vallès Oriental;BARCELONA;68600.0;10.0;6860;2;2;0;0;0;0;2024
A63615801;5790;CONSTRUCCIONS INTEGRALS METRE CUBIC, SAL;2004-12-17;[ 7111 ];Serveis tècnics d'arquitectura;SERVEIS;C. RONDA GENERAL PRIM núm. 25 Bloc CASA;[ 08302 ];Mataró;Maresme;BARCELONA;60150.0;1.0;60150;1;0;0;1;0;0;2024
B63621346;5791;GESTECNIC MANAGEMENT IMMOBILIARI, SLL;2004-12-17;[ 7111 ];Serveis tècnics d'arquitectura;SERVEIS;C. MARINEL·LO BOSCH núm. 30 Pis 2N Porta 4A;[ 08222 ];Terrassa;Vallès Occidental;BARCELONA;33000.0;100.0;330;2;0;1;0;0;0;2024
B63647176;5792;POWER ON SERVEIS D'INFORMATICA I TELECOMUNICACIONS, SLL;2004-12-21;[ 4651 ];Comerç a l'engròs d'ordinadors, equips perifèrics i programes informàtics;SERVEIS;C. PINTOR MURILLO núm. 43 Pis LOCAL Porta BAI;[ 08191 ];Rubí;Vallès Occidental;BARCELONA;54600.0;1.0;54600;2;0;0;2;0;0;2024
B63643696;5794;RL 68 TWINS, SLL;2004-12-21;[ 1072 ];Fabricació de galetes i productes de fleca i pastisseria de llarga durada;INDÚSTRIA;CTRA. MOLINS DE REI-SABADELL núm. 29 Km. 13 Nau 29;[ 08191 ];Rubí;Vallès Occidental;BARCELONA;16800.0;10.0;1680;0;2;1;0;0;0;2024
B63655724;5796;NIUN PEL, SLL;2004-12-22;[ 9602 ];Perruqueria i altres tractaments de bellesa;SERVEIS;C. SABONERIA núm. 81;[ 08204 ];Sabadell;Vallès Occidental;BARCELONA;3030.0;10.0;303;0;2;0;1;0;0;2024
B17820168;5799;FET AL GUST, SLL;2004-12-23;[ 51382 ];Comerç a l'engròs d'altres productes alimentaris;SERVEIS;C. RAMON D'URG núm. 9;[ 17860 ];Sant Joan De Les Abadesses;Ripollès;GIRONA;14424.0;1.0;14424;1;1;2;0;0;0;2024
B63656425;5801;RESTAURANTE SIPASA, SLL;2004-12-24;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. JOAN GAMPER núm. 5;[ 08014 ];Barcelona;Barcelonès;BARCELONA;3990.0;1.0;5320;0;3;1;0;0;0;2024
B17823386;5803;CEDICSAC SERVEIS, SLL;2004-12-28;[ 5274 ];Altres reparacions;SERVEIS;C. CARBASER núm. 16;[ 17531 ];Gombrèn;Ripollès;GIRONA;36300.0;10.0;3630;2;0;0;1;0;0;2024
B17824194;5805;REINMI REPARACIONS COMERCIALITZACIO, SLL;2004-12-28;[ 52488 ];Altres tipus de comerç al detall;SERVEIS;AV. DEL RIPOLLÈS núm. 35 Esc. A Pis 1R Porta 2A;[ 17500 ];Ripoll;Ripollès;GIRONA;54000.0;10.0;5400;1;1;1;0;0;0;2024
B63662951;5807;CHIC'S BCN IMAGEN, SLL;2004-12-30;[ 9602 ];Perruqueria i altres tractaments de bellesa;SERVEIS;C. SANTA JOANA D'ARC núm. 35 Pis BAIXOS;[ 08032 ];Barcelona;Barcelonès;BARCELONA;30400.0;1.0;30400;0;2;1;1;0;0;2024
B17823816;5808;MUNTATGES INOKHO, SLL;2005-01-03;[ 2512 ];Fabricació de tancaments metàl·lics;INDÚSTRIA;C. MAS MASSONET núm. 23 Pis 1R Porta 1A;[ 17300 ];Blanes;Selva;GIRONA;24000.0;240.0;100;2;0;0;2;0;0;2024
B63662969;5809;DOMOTECH SYSTEMS, SLL;2005-01-03;[ 4322 ];Lampisteria, instal·lacions de calefacció i aire condicionat;CONSTRUCCIÓ;C. ROCAFORET núm. 193 Esc. B Pis 4T Porta 1A;[ 08019 ];Barcelona;Barcelonès;BARCELONA;13500.0;1.0;36000;2;0;1;0;0;0;2024
B63658413;5810;NETEGES MUNDI, SLL;2005-01-03;[ 74700 ];Activitats industrials de neteja;SERVEIS;C. JOAN MIRÓ núm. 8;[ 08740 ];Sant Andreu De La Barca;Baix Llobregat;BARCELONA;3030.0;10.0;303;0;2;1;0;0;0;2024
B63648018;5811;NET-CONSULTING 2004, SLL;2005-01-03;[ 52488 ];Altres tipus de comerç al detall;SERVEIS;C. PUJADES núm. 74-80 Esc. B Pis 3R Porta 2A;[ 08005 ];Barcelona;Barcelonès;BARCELONA;41700.0;100.0;417;3;0;0;0;0;0;2024
B63661029;5814;LEON, OTERO Y GOMEZ, SLL;2005-01-05;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. METGE CARRERAS núm. 173 Pis BAIXOS;[ 08640 ];Olesa De Montserrat;Baix Llobregat;BARCELONA;3012.0;1.0;3012;2;0;0;1;0;0;2024
B63650147;5816;AGEMAP INSTALACIONES 04, SLL;2005-01-10;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;C. ARGIMÓN núm. 12 Pis 1R;[ 08032 ];Barcelona;Barcelonès;BARCELONA;49500.0;100.0;495;3;0;0;0;0;0;2024
B63671309;5818;SERVEI TECNIC BARNAPOL, SLL;2005-01-11;[ 51430 ];Comerç a l'engròs d'aparells electrodomèstics, de ràdio i de televisió;SERVEIS;C. RONDA SANT MARTÍ núm. 2;[ 08020 ];Barcelona;Barcelonès;BARCELONA;3100.0;10.0;310;2;0;0;2;0;0;2024
B63672307;5819;KAPIKA ORDINADORS, SLL;2005-01-12;[ 52488 ];Altres tipus de comerç al detall;SERVEIS;C. FORTIÀ I SOLÀ núm. 8 Pis LOCAL;[ 08540 ];Centelles;Osona;BARCELONA;24000.0;10.0;2400;2;0;0;2;0;0;2024
B25565391;5820;TRUEBA MARTIN RESTAURADORS, SLL;2005-01-12;[ 55 ];Hoteleria;SERVEIS;C. LES MONGES núm. 6 Pis 1R Porta A;[ 25540 ];Les;Val d'Aran;LLEIDA;51000.0;10.0;5100;2;0;0;1;0;0;2024
B17825209;5822;LANPA PORTES I MECANISMES, SLL;2005-01-13;[ 2512 ];Fabricació de tancaments metàl·lics;INDÚSTRIA;C. MOSSEN JACINT VERDAGUER núm. 57;[ 17410 ];Sils;Selva;GIRONA;40800.0;10.0;4080;2;0;0;1;0;0;2024
B43783505;5824;MAS TANIET, SLL;2005-01-14;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. DEL MIG núm. 3;[ 43747 ];Benissanet;Ribera d'Ebre;TARRAGONA;66000.0;22000.0;3;1;1;1;0;0;0;2024
B63683296;5827;EL RACO ECOLOGIC, SLL;2005-01-14;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. BRUC núm. 84 Pis TENDA Porta 4;[ 08009 ];Barcelona;Barcelonès;BARCELONA;36000.0;10.0;3600;0;3;1;0;0;0;2024
B63689665;5829;SAM BIKE, SLL;2005-01-19;[ 51475 ];Comerç a l'engròs d'altres articles d'ús domèstic;SERVEIS;C. ONZE DE SETEMBRE núm. 55 Pis BAIXOS Porta 2A;[ 08170 ];Montornès Del Vallès;Vallès Oriental;BARCELONA;34500.0;1.0;34500;1;1;1;1;0;0;2024
B63694954;5831;SISTEMAS ELECTRICOS INDUSTRIALES DEL VALLES, SLL;2005-01-21;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;C. VOLUNTARIS 92 núm. 21;[ 08400 ];Granollers;Vallès Oriental;BARCELONA;65000.0;10.0;6500;2;1;1;0;0;0;2024
B63674857;5832;GABINET ALMEDA ADVOCADES ASSOCIADES, SLL;2005-01-21;[ 6910 ];Activitats jurídiques;SERVEIS;C. ALCALÀ GALIANO núm. 47 Pis BAIXOS;[ 08940 ];Cornellà De Llobregat;Baix Llobregat;BARCELONA;3015.0;1.0;3015;0;2;1;0;0;0;2024
B63575252;5834;JORDI GASCON INSTALACIONS, SLL;2005-01-24;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;C. SALVADOR DALÍ DOMENECH núm. 1 Esc. 3 Pis 1R Porta 1A;[ 08840 ];Viladecans;Baix Llobregat;BARCELONA;55500.0;10.0;5550;1;1;0;1;0;0;2024
B63700520;5835;ALDER EBENISTERIA, SLL;2005-01-24;[ 3109 ];Fabricació d'altres tipus de mobles;INDÚSTRIA;pi.  núm. 128 Polígon FRANCESC MACIÀ;[ 08295 ];Sant Vicenç De Castellet;Bages;BARCELONA;47700.0;1590.0;30;2;0;0;1;0;0;2024
B63657845;5839;GRUPO ACORDE COMUNICACION, SLL;2005-01-26;[ 5814 ];Edició de revistes;SERVEIS;parc TECNOLÒGIC DEL VALLÈS Pis LOCAL Porta 108;[ 08290 ];Cerdanyola Del Vallès;Vallès Occidental;BARCELONA;27000.0;1.0;27000;0;2;2;0;0;0;2024
B63673362;5842;ECO-CLIMA VILANOVA, SLL;2005-01-27;[ 4322 ];Lampisteria, instal·lacions de calefacció i aire condicionat;CONSTRUCCIÓ;C. OLERDOLA núm. 39 Esc. ESQ.;[ 08800 ];Vilanova I La Geltrú;Garraf;BARCELONA;60000.0;1000.0;60;1;1;1;0;0;0;2024
B17828583;5847;ESPLANAD 2018, SLL;2005-02-01;[ 5630 ];Establiments de begudes;SERVEIS;PG. BISBE GUILLAMET núm. 9;[ 17800 ];Olot;Garrotxa;GIRONA;6000.0;100.0;60;0;2;2;0;0;0;2024
B63468458;5850;EL MAUTE, SLL;2005-02-02;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. BALDRICH núm. 134 Pis LOCAL Porta 7;[ 08221 ];Terrassa;Vallès Occidental;BARCELONA;18610.0;10.0;1861;2;0;0;2;0;0;2024
B17826439;5852;DESA PARK, SLL;2005-02-02;[ 74602 ];Vigilància, protecció i seguretat;SERVEIS;C. SALVADOR DALÍ núm. 40;[ 17246 ];Santa Cristina D'Aro;Baix Empordà;GIRONA;3015.0;5.0;603;1;1;0;1;0;0;2024
